User #1133:
  Task #5376: 32
  Task #5687: 29
  Task #5840: 25
  Task #5485: 34
  Task #5353: 50
  Task #5033: 12
  Task #5288: 36
  Task #5490: 25
  Task #5293: 60
  Task #5298: 32
  Task #5623: 23
  Task #5555: 62
  Task #5381: 67
  Task #5821: 34
  Task #5601: 44
  Task #5615: 17
  Task #5997: 53
  Task #5357: 61
  Task #5487: 61
  Task #5070: 52
  Task #5364: 67
  Task #5472: 23
  Task #5285: 35
  Task #5015: 32
  Task #5316: 19
  Task #5727: 41
  Task #5839: 44
  Task #5898: 62
  Task #5882: 49
  Task #5640: 26
  Task #5503: 30
  Task #5833: 15
  Task #5901: 46
  Task #5793: 50
  Task #5172: 47
  Task #5290: 41
  Task #5515: 33
  Task #5202: 35
  Task #5368: 33
  Task #5039: 37
  Task #5075: 56
  Task #5085: 41
  Task #5963: 58
  Task #5914: 50
  Task #5910: 38
  Task #5736: 35
  Task #5156: 36
  Task #5765: 53
  Task #5059: 31
  Task #5082: 23
  Task #5345: 29
  Task #5991: 33
  Task #5654: 42
  Task #5788: 60
  Task #5777: 55
  Task #5612: 52
  Task #5667: 23
  Task #5372: 28
  Task #5307: 38
  Task #5111: 34
  Task #5549: 40
  Task #5589: 73
  Task #5786: 33
  Task #5340: 35
  Task #5594: 44
  Task #5741: 47
  Task #5879: 33
  Task #5424: 40
  Task #5182: 27
  Task #5092: 25
  Task #5093: 17
  Task #5166: 31
  Task #5445: 27
  Task #5396: 19
  Task #5243: 45
  Task #5496: 31
  Task #5236: 8
  Task #5436: 40
  Task #5148: 40
  Task #5543: 39
  Task #5972: 35
  Task #5407: 30
  Task #5961: 53
  Task #5587: 74
  Task #5171: 43
  Task #5605: 37
  Task #5761: 27
  Task #5265: 34
  Task #5947: 67
  Task #5628: 46
  Task #5187: 34
  Task #5161: 27
  Task #5135: 36
  Task #5016: 65
  Task #5624: 37
  Task #5448: 61
  Task #5086: 44
  Task #5478: 37
  Task #5038: 47
  Task #5018: 55
  Task #5248: 41
  Task #5816: 38
  Task #5618: 51
  Task #5967: 36
  Task #5568: 33
  Task #5647: 30
  Task #5758: 16
  Task #5731: 34
  Task #5231: 55
  Task #5475: 75
  Task #5065: 37
  Task #5259: 22
  Task #5229: 45
  Task #5010: 49
